epoch,loss,val_loss,val_acc
0,0.570389644553264,0.5780037641525269,0.08124999701976776
1,0.5672682294001182,0.566153883934021,0.08124999701976776
2,0.5230913932124773,0.4901675581932068,0.08124999701976776
3,0.3930212582151095,0.3173193037509918,0.4437499940395355
4,0.26554592326283455,0.23035354912281036,0.737500011920929
5,0.187686570143948,0.17561213672161102,0.831250011920929
6,0.1403917420345048,0.1353711038827896,0.887499988079071
7,0.10886905544127028,0.10748634487390518,0.9624999761581421
8,0.08628883150716622,0.09335575997829437,0.9624999761581421
9,0.0715348010417074,0.08304453641176224,0.9624999761581421
10,0.060780324429894485,0.07188056409358978,0.96875
11,0.05269146341985712,0.06550659239292145,0.96875
12,0.04681595275178552,0.06067080423235893,0.9750000238418579
13,0.042353215316931404,0.05679565668106079,0.9750000238418579
14,0.038898491843913995,0.053297244012355804,0.9750000238418579
15,0.03615338960662484,0.05011097714304924,0.9750000238418579
16,0.03382066010575121,0.04755726456642151,0.9750000238418579
17,0.031820428771122046,0.04554438218474388,0.9750000238418579
18,0.030152421968523413,0.044069115072488785,0.9750000238418579
19,0.02876659552566707,0.04283273220062256,0.9750000238418579
20,0.027599155941667657,0.04170771315693855,0.9750000238418579
21,0.02659768417167167,0.04063038527965546,0.9750000238418579
22,0.025724610410785925,0.039575811475515366,0.981249988079071
23,0.024952355034959812,0.038564328104257584,0.981249988079071
24,0.024264160194434226,0.03764478117227554,0.981249988079071
25,0.023652066418435425,0.03682820126414299,0.981249988079071
26,0.023108037169246625,0.03611746430397034,0.987500011920929
27,0.022625072704007227,0.03550752252340317,0.987500011920929
28,0.022195978012556832,0.03498690202832222,0.987500011920929
29,0.02181382927422722,0.0345430001616478,0.987500011920929
