epoch,loss,val_loss,val_acc
0,0.5650165490806103,0.6312557458877563,0.10625000298023224
1,0.527957858517766,0.5323880910873413,0.11249999701976776
2,0.3883443456143141,0.32234519720077515,0.5562499761581421
3,0.26287774710605544,0.277035653591156,0.6625000238418579
4,0.19416300455729166,0.19588622450828552,0.7437499761581421
5,0.14158779832844934,0.14088328182697296,0.862500011920929
6,0.1087977634742856,0.1013423353433609,0.9750000238418579
7,0.08688559018385907,0.0828162431716919,0.987500011920929
8,0.07171484222635627,0.06896969676017761,0.987500011920929
9,0.06028920807875693,0.06161557883024216,0.987500011920929
10,0.052013317278275885,0.056966423988342285,0.987500011920929
11,0.0461829840981712,0.054210782051086426,0.987500011920929
12,0.04194613130918393,0.05192308872938156,0.987500011920929
13,0.038539901414575674,0.0479130893945694,0.987500011920929
14,0.0355304308856527,0.043264131993055344,0.9937499761581421
15,0.03299601535157611,0.04004636034369469,0.9937499761581421
16,0.03100793397364517,0.03791021555662155,0.9937499761581421
17,0.029387296992354095,0.03625619411468506,0.9937499761581421
18,0.027955330985908706,0.03458407148718834,0.9937499761581421
19,0.02667574683437124,0.03298051655292511,0.9937499761581421
20,0.025553343972812097,0.03166009858250618,0.9937499761581421
21,0.024579015735071152,0.030604800209403038,0.9937499761581421
22,0.02372871374245733,0.029749298468232155,0.9937499761581421
23,0.0229829012726744,0.029046371579170227,0.9937499761581421
24,0.022328699201655883,0.028456127271056175,0.9937499761581421
25,0.021755681800035138,0.02795424498617649,0.9937499761581421
26,0.021251495481313516,0.027524570003151894,0.9937499761581421
27,0.020806166673234355,0.02714947983622551,0.9937499761581421
28,0.020411303063156083,0.026813169941306114,0.9937499761581421
29,0.020059686289944995,0.026505429297685623,0.9937499761581421
